2020-04-10,Allegan,19,0.0
2020-04-10,Antrim,6,0.0
2020-04-10,Arenac,4,0.0
2020-04-10,Barry,7,0.0
2020-04-10,Bay,48,0.0
2020-04-10,Berrien,88,2.0
2020-04-10,Branch,25,2.0
2020-04-10,Calhoun,65,1.0
2020-04-10,Cass,12,1.0
2020-04-10,Charlevoix,10,0.0
2020-04-10,Cheboygan,10,1.0
2020-04-10,Chippewa,1,1.0
2020-04-10,Clare,3,1.0
2020-04-10,Clinton,90,3.0
2020-04-10,Crawford,5,1.0
2020-04-10,Delta,9,1.0
2020-04-10,Detroit City,6218,327.0
2020-04-10,Dickinson,3,1.0
2020-04-10,Eaton,69,4.0
2020-04-10,Emmet,17,2.0
2020-04-10,Genesee,828,57.0
2020-04-10,Gladwin,4,0.0
2020-04-10,Gogebic,4,1.0
2020-04-10,Grand Traverse,16,3.0
2020-04-10,Gratiot,6,0.0
2020-04-10,Hillsdale,70,6.0
2020-04-10,Houghton,1,0.0
2020-04-10,Huron,5,0.0
2020-04-10,Ingham,239,3.0
2020-04-10,Ionia,14,2.0
2020-04-10,Iosco,4,1.0
2020-04-10,Isabella,37,2.0
2020-04-10,Jackson,140,4.0
2020-04-10,Kalamazoo,77,7.0
2020-04-10,Kalkaska,10,2.0
2020-04-10,Kent,250,13.0
2020-04-10,Lapeer,87,6.0
2020-04-10,Leelanau,4,0.0
2020-04-10,Lenawee,39,0.0
2020-04-10,Livingston,196,3.0
2020-04-10,Luce,1,0.0
2020-04-10,Mackinac,4,0.0
2020-04-10,Macomb,2973,197.0
2020-04-10,Manistee,9,0.0
2020-04-10,Marquette,21,2.0
2020-04-10,Mason,1,0.0
2020-04-10,Mecosta,11,1.0
2020-04-10,Menominee,1,0.0
2020-04-10,Midland,28,1.0
2020-04-10,Missaukee,1,1.0
2020-04-10,Monroe,174,4.0
2020-04-10,Montcalm,20,1.0
2020-04-10,Muskegon,57,4.0
2020-04-10,Newaygo,4,0.0
2020-04-10,Oakland,4511,282.0
2020-04-10,Oceana,3,1.0
2020-04-10,Ogemaw,3,0.0
2020-04-10,Osceola,3,0.0
2020-04-10,Oscoda,3,0.0
2020-04-10,Otsego,29,2.0
2020-04-10,Ottawa,61,1.0
2020-04-10,Presque Isle,2,0.0
2020-04-10,Roscommon,8,0.0
2020-04-10,Saginaw,240,9.0
2020-04-10,Sanilac,23,2.0
2020-04-10,Schoolcraft,1,0.0
2020-04-10,Shiawassee,34,0.0
2020-04-10,St Clair,179,4.0
2020-04-10,St Joseph,20,0.0
2020-04-10,Tuscola,41,5.0
2020-04-10,Van Buren,20,1.0
2020-04-10,Washtenaw,659,15.0
2020-04-10,Wayne,4321,282.0
2020-04-10,Wexford,7,0.0
2020-04-10,MDOC*,335,5.0
2020-04-10,FCI**,14,0.0
2020-04-10,Unknown,84,2.0
2020-04-10,Out of State,137,1.0
2020-04-10,Total,22783,1281.0
